city_id,city_name,consumers,population,estimated_rent,city_rank,customer_id,customer_name,sale_id,sale_date,total,rating,product_id-2,product_name,price,month
2,Chennai,2775000,11100000,17100,6,44,Aarav Rao,4,01-01-2023,350,4,15,Coffee Mug (Ceramic),350,Jan
3,Pune,1875000,7500000,15300,9,101,Dhruv Sinha,5,01-01-2023,600,4,17,Coffee-Themed T-Shirt,600,Jan
3,Pune,1875000,7500000,15300,9,114,Mira Chopra,1,01-01-2023,900,4,2,Cold Brew Coffee Pack (6 Bottles),900,Jan
4,Jaipur,1000000,4000000,10800,8,168,Isha Gupta,3,01-01-2023,750,3,8,Flavored Coffee Pods (Pack of 10),750,Jan
8,Ahmedabad,2075000,8300000,14400,5,330,Saanvi Patel,6,01-01-2023,650,2,21,Insulated Travel Mug,650,Jan
10,Surat,1800000,7200000,13500,10,391,Krishna Shukla,2,01-01-2023,250,2,3,Instant Coffee Powder (100g),250,Jan
13,Nagpur,725000,2900000,7200,13,462,Riya Mehta,7,01-01-2023,300,3,28,Coffee-Themed Notebook,300,Jan
2,Chennai,2775000,11100000,17100,6,57,Aditya Shukla,13,02-01-2023,400,5,22,Coffee Art Print,400,Jan
2,Chennai,2775000,11100000,17100,6,68,Aryan Mishra,8,02-01-2023,900,5,2,Cold Brew Coffee Pack (6 Bottles),900,Jan
3,Pune,1875000,7500000,15300,9,109,Ishita Kapoor,9,02-01-2023,250,4,3,Instant Coffee Powder (100g),250,Jan
3,Pune,1875000,7500000,15300,9,110,Ishita Reddy,12,02-01-2023,650,4,21,Insulated Travel Mug,650,Jan
3,Pune,1875000,7500000,15300,9,128,Mira Nair,14,02-01-2023,250,4,23,Customizable Coffee Coaster Set,250,Jan
4,Jaipur,1000000,4000000,10800,8,185,Riya Shukla,16,02-01-2023,900,5,26,Coffee Plant Kit (DIY),900,Jan
7,Hyderabad,2500000,10000000,22500,4,305,Rudra Kumar,11,02-01-2023,320,3,14,Vanilla Coffee Syrup (250ml),320,Jan
8,Ahmedabad,2075000,8300000,14400,5,341,Vidya Mishra,10,02-01-2023,600,2,4,Coffee Beans (500g),600,Jan
9,Kolkata,3725000,14900000,16200,7,363,Vivaan Reddy,15,02-01-2023,600,4,25,Coffee Recipe Book,600,Jan
1,Bangalore,3075000,12300000,29700,1,6,Aditi Verma,28,03-01-2023,600,4,25,Coffee Recipe Book,600,Jan
1,Bangalore,3075000,12300000,29700,1,17,Arjun Pandey,23,03-01-2023,700,4,9,Organic Green Coffee Beans (500g),700,Jan
1,Bangalore,3075000,12300000,29700,1,19,Arjun Reddy,26,03-01-2023,500,5,16,Stainless Steel Tumbler,500,Jan
1,Bangalore,3075000,12300000,29700,1,27,Dhruv Kumar,31,03-01-2023,300,5,28,Coffee-Themed Notebook,300,Jan
2,Chennai,2775000,11100000,17100,6,42,Aarav Mishra,27,03-01-2023,500,5,24,Tote Bag with Coffee Design,500,Jan
2,Chennai,2775000,11100000,17100,6,44,Aarav Rao,21,03-01-2023,700,5,9,Organic Green Coffee Beans (500g),700,Jan
2,Chennai,2775000,11100000,17100,6,56,Aditya Reddy,18,03-01-2023,1200,5,6,French Press Coffee Set,1200,Jan
3,Pune,1875000,7500000,15300,9,97,Aryan Shukla,25,03-01-2023,320,4,14,Vanilla Coffee Syrup (250ml),320,Jan
3,Pune,1875000,7500000,15300,9,117,Mira Sharma,22,03-01-2023,700,5,9,Organic Green Coffee Beans (500g),700,Jan
3,Pune,1875000,7500000,15300,9,124,Vivaan Desai,19,03-01-2023,750,4,8,Flavored Coffee Pods (Pack of 10),750,Jan
5,Delhi,7750000,31000000,22500,3,207,Aditi Agarwal,29,03-01-2023,900,4,26,Coffee Plant Kit (DIY),900,Jan
5,Delhi,7750000,31000000,22500,3,270,Ayush Kumar,30,03-01-2023,200,3,27,Personalized Coffee Spoon,200,Jan
6,Mumbai,5100000,20400000,31500,2,292,Mira Mehta,17,03-01-2023,600,3,4,Coffee Beans (500g),600,Jan
8,Ahmedabad,2075000,8300000,14400,5,341,Vidya Mishra,20,03-01-2023,750,3,8,Flavored Coffee Pods (Pack of 10),750,Jan
10,Surat,1800000,7200000,13500,10,385,Shaurya Mehta,24,03-01-2023,450,5,13,Mocha Flavored Coffee Mix (200g),450,Jan
1,Bangalore,3075000,12300000,29700,1,8,Aditya Malhotra,37,04-01-2023,600,4,25,Coffee Recipe Book,600,Jan
2,Chennai,2775000,11100000,17100,6,76,Isha Chopra,36,04-01-2023,400,4,22,Coffee Art Print,400,Jan
3,Pune,1875000,7500000,15300,9,106,Isha Joshi,35,04-01-2023,350,5,15,Coffee Mug (Ceramic),350,Jan
